Date : 2024-04-29 23:52:56
Directory : g:\flutter_projects\e_learning
Total : 122 files,  3571 codes, 320 comments, 538 blanks, all 4429 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| g:\flutter_projects\e_learning\assets\images\logout.svg                                              | XML        |          3 |          0 |          1 |          4 |
| g:\flutter_projects\e_learning\assets\images\menu.svg                                                | XML        |         17 |          0 |          1 |         18 |
| g:\flutter_projects\e_learning\assets\images\payment.svg                                             | XML        |          3 |          0 |          1 |          4 |
| g:\flutter_projects\e_learning\assets\images\send.svg                                                | XML        |          3 |          0 |          1 |          4 |
| g:\flutter_projects\e_learning\assets\images\unlock.svg                                              | XML        |          1 |          0 |          0 |          1 |
| g:\flutter_projects\e_learning\ios\RunnerTests\RunnerTests.swift                                     | Swift      |          7 |          2 |          4 |         13 |
| g:\flutter_projects\e_learning\ios\Runner\AppDelegate.swift                                          | Swift      |         12 |          0 |          2 |         14 |
| g:\flutter_projects\e_learning\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json           | JSON       |        122 |          0 |          1 |        123 |
| g:\flutter_projects\e_learning\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json         | JSON       |         23 |          0 |          1 |         24 |
| g:\flutter_projects\e_learning\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md             | Markdown   |          3 |          0 |          2 |          5 |
| g:\flutter_projects\e_learning\ios\Runner\Base.lproj\LaunchScreen.storyboard                         | XML        |         36 |          1 |          1 |         38 |
| g:\flutter_projects\e_learning\ios\Runner\Base.lproj\Main.storyboard                                 | XML        |         25 |          1 |          1 |         27 |
| g:\flutter_projects\e_learning\ios\Runner\Runner-Bridging-Header.h                                   | C++        |          1 |          0 |          1 |          2 |
| g:\flutter_projects\e_learning\lib\common\routing\app_routes.dart                                    | Dart       |         80 |          1 |          3 |         84 |
| g:\flutter_projects\e_learning\lib\common\utils\app_colors.dart                                      | Dart       |         10 |          0 |          2 |         12 |
| g:\flutter_projects\e_learning\lib\common\utils\app_styles.dart                                      | Dart       |        116 |          4 |         22 |        142 |
| g:\flutter_projects\e_learning\lib\common\utils\assets.dart                                          | Dart       |         20 |         34 |         19 |         73 |
| g:\flutter_projects\e_learning\lib\common\widgets\custom_app_bar.dart                                | Dart       |         48 |          0 |          6 |         54 |
| g:\flutter_projects\e_learning\lib\common\widgets\custom_button.dart                                 | Dart       |         38 |          0 |          3 |         41 |
| g:\flutter_projects\e_learning\lib\common\widgets\custom_text_button.dart                            | Dart       |         42 |          0 |          4 |         46 |
| g:\flutter_projects\e_learning\lib\common\widgets\custom_text_button_builder.dart                    | Dart       |        152 |          0 |          9 |        161 |
| g:\flutter_projects\e_learning\lib\common\widgets\custom_text_form_field.dart                        | Dart       |         94 |          0 |          8 |        102 |
| g:\flutter_projects\e_learning\lib\features\auth\ui\views\reset_password_view.dart                   | Dart       |         36 |          0 |          4 |         40 |
| g:\flutter_projects\e_learning\lib\features\auth\ui\views\sign_in_view.dart                          | Dart       |         54 |          0 |          4 |         58 |
| g:\flutter_projects\e_learning\lib\features\auth\ui\views\sign_up_view.dart                          | Dart       |         57 |          0 |          4 |         61 |
| g:\flutter_projects\e_learning\lib\features\auth\ui\views\unlock_view.dart                           | Dart       |         29 |          0 |          4 |         33 |
| g:\flutter_projects\e_learning\lib\features\auth\ui\widgets\confirm_password_text_form.dart          | Dart       |         13 |          0 |          3 |         16 |
| g:\flutter_projects\e_learning\lib\features\auth\ui\widgets\custom_divider.dart                      | Dart       |         39 |          0 |          3 |         42 |
| g:\flutter_projects\e_learning\lib\features\auth\ui\widgets\forget_password.dart                     | Dart       |         19 |          0 |          4 |         23 |
| g:\flutter_projects\e_learning\lib\features\auth\ui\widgets\full_name_text_field.dart                | Dart       |         12 |          0 |          3 |         15 |
| g:\flutter_projects\e_learning\lib\features\auth\ui\widgets\head_text.dart                           | Dart       |         13 |          0 |          3 |         16 |
| g:\flutter_projects\e_learning\lib\features\auth\ui\widgets\new_password_text_form.dart              | Dart       |         13 |          0 |          3 |         16 |
| g:\flutter_projects\e_learning\lib\features\auth\ui\widgets\save_button.dart                         | Dart       |         12 |          0 |          3 |         15 |
| g:\flutter_projects\e_learning\lib\features\auth\ui\widgets\sign_buttons.dart                        | Dart       |         33 |          0 |          3 |         36 |
| g:\flutter_projects\e_learning\lib\features\auth\ui\widgets\sign_in_email_text_field.dart            | Dart       |         14 |          0 |          3 |         17 |
| g:\flutter_projects\e_learning\lib\features\auth\ui\widgets\sign_in_here.dart                        | Dart       |         28 |          0 |          5 |         33 |
| g:\flutter_projects\e_learning\lib\features\auth\ui\widgets\sign_in_hint_text.dart                   | Dart       |         17 |          0 |          3 |         20 |
| g:\flutter_projects\e_learning\lib\features\auth\ui\widgets\sign_in_password_text_field.dart         | Dart       |         15 |          0 |          3 |         18 |
| g:\flutter_projects\e_learning\lib\features\auth\ui\widgets\sign_in_text.dart                        | Dart       |         13 |          0 |          3 |         16 |
| g:\flutter_projects\e_learning\lib\features\auth\ui\widgets\sign_in_text_button.dart                 | Dart       |         12 |          0 |          3 |         15 |
| g:\flutter_projects\e_learning\lib\features\auth\ui\widgets\sign_in_with_facebook.dart               | Dart       |         14 |          0 |          3 |         17 |
| g:\flutter_projects\e_learning\lib\features\auth\ui\widgets\sign_in_with_google.dart                 | Dart       |         14 |          0 |          3 |         17 |
| g:\flutter_projects\e_learning\lib\features\auth\ui\widgets\sign_up_button.dart                      | Dart       |         12 |          0 |          3 |         15 |
| g:\flutter_projects\e_learning\lib\features\auth\ui\widgets\sign_up_confirm_password_text_field.dart | Dart       |         13 |          0 |          3 |         16 |
| g:\flutter_projects\e_learning\lib\features\auth\ui\widgets\sign_up_email_text_field.dart            | Dart       |         12 |          0 |          3 |         15 |
| g:\flutter_projects\e_learning\lib\features\auth\ui\widgets\sign_up_here.dart                        | Dart       |         28 |          0 |          5 |         33 |
| g:\flutter_projects\e_learning\lib\features\auth\ui\widgets\sign_up_password_text_field.dart         | Dart       |         13 |          0 |          3 |         16 |
| g:\flutter_projects\e_learning\lib\features\auth\ui\widgets\sign_up_with_facebook.dart               | Dart       |         14 |          0 |          3 |         17 |
| g:\flutter_projects\e_learning\lib\features\auth\ui\widgets\sign_up_with_google.dart                 | Dart       |         14 |          0 |          3 |         17 |
| g:\flutter_projects\e_learning\lib\features\intro\data\models\page_model.dart                        | Dart       |         26 |          0 |          4 |         30 |
| g:\flutter_projects\e_learning\lib\features\intro\ui\views\on_boarding_view.dart                     | Dart       |         79 |          2 |          8 |         89 |
| g:\flutter_projects\e_learning\lib\features\intro\ui\widgets\body_widget.dart                        | Dart       |         30 |          0 |          3 |         33 |
| g:\flutter_projects\e_learning\lib\features\intro\ui\widgets\buttons_column.dart                     | Dart       |         48 |          0 |          4 |         52 |
| g:\flutter_projects\e_learning\lib\features\intro\ui\widgets\page_view_body.dart                     | Dart       |         27 |          0 |          3 |         30 |
| g:\flutter_projects\e_learning\lib\features\intro\ui\widgets\title_widget.dart                       | Dart       |         16 |          0 |          2 |         18 |
| g:\flutter_projects\e_learning\lib\features\layout\home\data\models\notifications_model.dart         | Dart       |         44 |          0 |          3 |         47 |
| g:\flutter_projects\e_learning\lib\features\layout\home\ui\views\home_view.dart                      | Dart       |         10 |          0 |          3 |         13 |
| g:\flutter_projects\e_learning\lib\features\layout\home\ui\views\notifications_view.dart             | Dart       |         22 |          0 |          4 |         26 |
| g:\flutter_projects\e_learning\lib\features\layout\home\ui\widgets\notifications_item.dart           | Dart       |         62 |          0 |          2 |         64 |
| g:\flutter_projects\e_learning\lib\features\layout\inbox\ui\views\inbox_view.dart                    | Dart       |         48 |          0 |          4 |         52 |
| g:\flutter_projects\e_learning\lib\features\layout\inbox\ui\widgets\chat_column.dart                 | Dart       |         29 |          0 |          2 |         31 |
| g:\flutter_projects\e_learning\lib\features\layout\inbox\ui\widgets\custom_row.dart                  | Dart       |         24 |          0 |          2 |         26 |
| g:\flutter_projects\e_learning\lib\features\layout\inbox\ui\widgets\inbox_item.dart                  | Dart       |         37 |          0 |          4 |         41 |
| g:\flutter_projects\e_learning\lib\features\layout\inbox\ui\widgets\inbox_item_list_view.dart        | Dart       |         22 |          0 |          2 |         24 |
| g:\flutter_projects\e_learning\lib\features\layout\inbox\ui\widgets\mort_container.dart              | Dart       |         22 |          0 |          3 |         25 |
| g:\flutter_projects\e_learning\lib\features\layout\inbox\ui\widgets\small_container.dart             | Dart       |         24 |          0 |          3 |         27 |
| g:\flutter_projects\e_learning\lib\features\layout\profile\data\models\profile_item_model.dart       | Dart       |         15 |          0 |          4 |         19 |
| g:\flutter_projects\e_learning\lib\features\layout\profile\ui\views\profile_view.dart                | Dart       |         47 |          0 |          4 |         51 |
| g:\flutter_projects\e_learning\lib\features\layout\profile\ui\widgets\profile_info.dart              | Dart       |         33 |          0 |          3 |         36 |
| g:\flutter_projects\e_learning\lib\features\layout\profile\ui\widgets\profile_item.dart              | Dart       |         36 |          0 |          2 |         38 |
| g:\flutter_projects\e_learning\lib\features\splash\ui\views\splash_view.dart                         | Dart       |         48 |          0 |          7 |         55 |
| g:\flutter_projects\e_learning\lib\main.dart                                                         | Dart       |         22 |          1 |          4 |         27 |
| g:\flutter_projects\e_learning\linux\flutter\generated_plugin_registrant.cc                          | C++        |          3 |          4 |          5 |         12 |
| g:\flutter_projects\e_learning\linux\flutter\generated_plugin_registrant.h                           | C++        |          5 |          5 |          6 |         16 |
| g:\flutter_projects\e_learning\linux\main.cc                                                         | C++        |          5 |          0 |          2 |          7 |
| g:\flutter_projects\e_learning\linux\my_application.cc                                               | C++        |         82 |         17 |         26 |        125 |
| g:\flutter_projects\e_learning\linux\my_application.h                                                | C++        |          7 |          7 |          5 |         19 |
| g:\flutter_projects\e_learning\macos\Flutter\GeneratedPluginRegistrant.swift                         | Swift      |          6 |          3 |          4 |         13 |
| g:\flutter_projects\e_learning\macos\RunnerTests\RunnerTests.swift                                   | Swift      |          7 |          2 |          4 |         13 |
| g:\flutter_projects\e_learning\macos\Runner\AppDelegate.swift                                        | Swift      |          8 |          0 |          2 |         10 |
| g:\flutter_projects\e_learning\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json         | JSON       |         68 |          0 |          1 |         69 |
| g:\flutter_projects\e_learning\macos\Runner\Base.lproj\MainMenu.xib                                  | XML        |        343 |          0 |          1 |        344 |
| g:\flutter_projects\e_learning\macos\Runner\MainFlutterWindow.swift                                  | Swift      |         12 |          0 |          4 |         16 |
| g:\flutter_projects\e_learning\pubspec.yaml                                                          | YAML       |         32 |         38 |          7 |         77 |
| g:\flutter_projects\e_learning\test\widget_test.dart                                                 | Dart       |         14 |         10 |          7 |         31 |
| g:\flutter_projects\e_learning\web\index.html                                                        | HTML       |         38 |         16 |          6 |         60 |
| g:\flutter_projects\e_learning\web\manifest.json                                                     | JSON       |         35 |          0 |          1 |         36 |
| g:\flutter_projects\e_learning\windows\flutter\generated_plugin_registrant.cc                        | C++        |          3 |          4 |          5 |         12 |
| g:\flutter_projects\e_learning\windows\flutter\generated_plugin_registrant.h                         | C++        |          5 |          5 |          6 |         16 |
| g:\flutter_projects\e_learning\windows\runner\flutter_window.cpp                                     | C++        |         49 |          7 |         16 |         72 |
| g:\flutter_projects\e_learning\windows\runner\flutter_window.h                                       | C++        |         20 |          5 |          9 |         34 |
| g:\flutter_projects\e_learning\windows\runner\main.cpp                                               | C++        |         30 |          4 |         10 |         44 |
| g:\flutter_projects\e_learning\windows\runner\resource.h                                             | C++        |          9 |          6 |          2 |         17 |
| g:\flutter_projects\e_learning\windows\runner\utils.cpp                                              | C++        |         54 |          2 |         10 |         66 |
| g:\flutter_projects\e_learning\windows\runner\utils.h                                                | C++        |          8 |          6 |          6 |         20 |
| g:\flutter_projects\e_learning\windows\runner\win32_window.cpp                                       | C++        |        210 |         24 |         55 |        289 |
| g:\flutter_projects\e_learning\windows\runner\win32_window.h                                         | C++        |         48 |         31 |         24 |        103 |
| Total                                                                                                |            |      3,571 |        320 |        538 |      4,429 |
+------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
