Date : 2024-05-25 00:55:29
Directory : g:\flutter_projects\e_learning
Total : 230 files,  10457 codes, 385 comments, 928 blanks, all 11770 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| g:\flutter_projects\e_learning\android\app\src\main\res\values\styles.xml                                     | XML        |          9 |          9 |          1 |         19 |
| g:\flutter_projects\e_learning\android\app\src\profile\AndroidManifest.xml                                    | XML        |          3 |          4 |          1 |          8 |
| g:\flutter_projects\e_learning\android\build.gradle                                                           | Gradle     |         16 |          0 |          3 |         19 |
| g:\flutter_projects\e_learning\android\gradle.properties                                                      | Properties |          3 |          0 |          1 |          4 |
| g:\flutter_projects\e_learning\android\gradle\wrapper\gradle-wrapper.properties                               | Properties |          5 |          0 |          1 |          6 |
| g:\flutter_projects\e_learning\android\settings.gradle                                                        | Gradle     |         22 |          0 |          5 |         27 |
| g:\flutter_projects\e_learning\assets\images\Learning-bro.svg                                                 | XML        |          1 |          0 |          0 |          1 |
| g:\flutter_projects\e_learning\assets\images\Maestro.svg                                                      | XML        |          6 |          0 |          1 |          7 |
| g:\flutter_projects\e_learning\assets\images\Mastercard.svg                                                   | XML        |         20 |          0 |          1 |         21 |
| g:\flutter_projects\e_learning\assets\images\Onlinelearning-amico.svg                                         | XML        |          1 |          0 |          0 |          1 |
| g:\flutter_projects\e_learning\assets\images\PayPal.svg                                                       | XML        |         23 |          0 |          1 |         24 |
| g:\flutter_projects\e_learning\assets\images\Visa.svg                                                         | XML        |         18 |          0 |          1 |         19 |
| g:\flutter_projects\e_learning\assets\images\Webinar-rafiki.svg                                               | XML        |          1 |          0 |          1 |          2 |
| g:\flutter_projects\e_learning\assets\images\book.svg                                                         | XML        |          3 |          0 |          1 |          4 |
| g:\flutter_projects\e_learning\assets\images\book_color.svg                                                   | XML        |          3 |          0 |          1 |          4 |
| g:\flutter_projects\e_learning\assets\images\certificate_color.svg                                            | XML        |          4 |          0 |          1 |          5 |
| g:\flutter_projects\e_learning\assets\images\certification.svg                                                | XML        |          4 |          0 |          1 |          5 |
| g:\flutter_projects\e_learning\assets\images\check.svg                                                        | XML        |         19 |          0 |          1 |         20 |
| g:\flutter_projects\e_learning\assets\images\dollar.svg                                                       | XML        |         12 |          0 |          1 |         13 |
| g:\flutter_projects\e_learning\assets\images\done.svg                                                         | XML        |          4 |          0 |          1 |          5 |
| g:\flutter_projects\e_learning\assets\images\donePicture.svg                                                  | XML        |         96 |          0 |          1 |         97 |
| g:\flutter_projects\e_learning\assets\images\done_icon.svg                                                    | XML        |          4 |          0 |          1 |          5 |
| g:\flutter_projects\e_learning\assets\images\easypaisa.svg                                                    | XML        |         11 |          0 |          0 |         11 |
| g:\flutter_projects\e_learning\assets\images\edit.svg                                                         | XML        |          3 |          0 |          1 |          4 |
| g:\flutter_projects\e_learning\assets\images\facebook_logo.svg                                                | XML        |          4 |          0 |          1 |          5 |
| g:\flutter_projects\e_learning\assets\images\google_logo.svg                                                  | XML        |          7 |          0 |          1 |          8 |
| g:\flutter_projects\e_learning\assets\images\help.svg                                                         | XML        |          3 |          0 |          1 |          4 |
| g:\flutter_projects\e_learning\assets\images\imageSvg.svg                                                     | XML        |          9 |          0 |          1 |         10 |
| g:\flutter_projects\e_learning\assets\images\jazz_cash.svg                                                    | XML        |      3,685 |          0 |          0 |      3,685 |
| g:\flutter_projects\e_learning\assets\images\like.svg                                                         | XML        |         31 |          0 |          1 |         32 |
| g:\flutter_projects\e_learning\assets\images\logo copy.svg                                                    | XML        |         18 |          0 |          1 |         19 |
| g:\flutter_projects\e_learning\assets\images\logo.svg                                                         | XML        |         32 |          0 |          1 |         33 |
| g:\flutter_projects\e_learning\assets\images\logout.svg                                                       | XML        |          3 |          0 |          1 |          4 |
| g:\flutter_projects\e_learning\assets\images\menu.svg                                                         | XML        |         17 |          0 |          1 |         18 |
| g:\flutter_projects\e_learning\assets\images\myCertificates.svg                                               | XML        |          3 |          0 |          1 |          4 |
| g:\flutter_projects\e_learning\assets\images\payment.svg                                                      | XML        |          3 |          0 |          1 |          4 |
| g:\flutter_projects\e_learning\assets\images\playButton.svg                                                   | XML        |          3 |          0 |          1 |          4 |
| g:\flutter_projects\e_learning\assets\images\send.svg                                                         | XML        |          3 |          0 |          1 |          4 |
| g:\flutter_projects\e_learning\assets\images\time.svg                                                         | XML        |          3 |          0 |          1 |          4 |
| g:\flutter_projects\e_learning\assets\images\time_color.svg                                                   | XML        |          3 |          0 |          1 |          4 |
| g:\flutter_projects\e_learning\assets\images\un_done_icon.svg                                                 | XML        |          3 |          0 |          1 |          4 |
| g:\flutter_projects\e_learning\assets\images\unlock.svg                                                       | XML        |          1 |          0 |          0 |          1 |
| g:\flutter_projects\e_learning\ios\RunnerTests\RunnerTests.swift                                              | Swift      |          7 |          2 |          4 |         13 |
| g:\flutter_projects\e_learning\ios\Runner\AppDelegate.swift                                                   | Swift      |         12 |          0 |          2 |         14 |
| g:\flutter_projects\e_learning\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json                    | JSON       |        122 |          0 |          1 |        123 |
| g:\flutter_projects\e_learning\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json                  | JSON       |         23 |          0 |          1 |         24 |
| g:\flutter_projects\e_learning\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md                      | Markdown   |          3 |          0 |          2 |          5 |
| g:\flutter_projects\e_learning\ios\Runner\Base.lproj\LaunchScreen.storyboard                                  | XML        |         36 |          1 |          1 |         38 |
| g:\flutter_projects\e_learning\ios\Runner\Base.lproj\Main.storyboard                                          | XML        |         25 |          1 |          1 |         27 |
| g:\flutter_projects\e_learning\ios\Runner\Runner-Bridging-Header.h                                            | C++        |          1 |          0 |          1 |          2 |
| g:\flutter_projects\e_learning\lib\common\helpers\push_with_slide_transition.dart                             | Dart       |         18 |          0 |          2 |         20 |
| g:\flutter_projects\e_learning\lib\common\models\item_model.dart                                              | Dart       |          6 |          0 |          1 |          7 |
| g:\flutter_projects\e_learning\lib\common\routing\app_routes.dart                                             | Dart       |        157 |          1 |          3 |        161 |
| g:\flutter_projects\e_learning\lib\common\utils\app_colors.dart                                               | Dart       |         11 |          0 |          2 |         13 |
| g:\flutter_projects\e_learning\lib\common\utils\app_styles.dart                                               | Dart       |        128 |          4 |         22 |        154 |
| g:\flutter_projects\e_learning\lib\common\utils\assets.dart                                                   | Dart       |         54 |        102 |         53 |        209 |
| g:\flutter_projects\e_learning\lib\common\widgets\custom_app_bar.dart                                         | Dart       |         49 |          0 |          6 |         55 |
| g:\flutter_projects\e_learning\lib\common\widgets\custom_button.dart                                          | Dart       |         38 |          0 |          3 |         41 |
| g:\flutter_projects\e_learning\lib\common\widgets\custom_item_builder.dart                                    | Dart       |         27 |          2 |          4 |         33 |
| g:\flutter_projects\e_learning\lib\common\widgets\custom_text_button.dart                                     | Dart       |         42 |          0 |          4 |         46 |
| g:\flutter_projects\e_learning\lib\common\widgets\custom_text_button_builder.dart                             | Dart       |        152 |          0 |          9 |        161 |
| g:\flutter_projects\e_learning\lib\common\widgets\custom_text_form_field.dart                                 | Dart       |         94 |          0 |          8 |        102 |
| g:\flutter_projects\e_learning\lib\common\widgets\skills_content.dart                                         | Dart       |         20 |          0 |          3 |         23 |
| g:\flutter_projects\e_learning\lib\common\widgets\underline_text.dart                                         | Dart       |         23 |          0 |          2 |         25 |
| g:\flutter_projects\e_learning\lib\features\auth\ui\views\reset_password_view.dart                            | Dart       |         36 |          0 |          4 |         40 |
| g:\flutter_projects\e_learning\lib\features\auth\ui\views\sign_in_view.dart                                   | Dart       |         54 |          0 |          4 |         58 |
| g:\flutter_projects\e_learning\lib\features\auth\ui\views\sign_up_view.dart                                   | Dart       |         57 |          0 |          4 |         61 |
| g:\flutter_projects\e_learning\lib\features\auth\ui\views\unlock_view.dart                                    | Dart       |         29 |          0 |          4 |         33 |
| g:\flutter_projects\e_learning\lib\features\auth\ui\widgets\confirm_password_text_form.dart                   | Dart       |         13 |          0 |          3 |         16 |
| g:\flutter_projects\e_learning\lib\features\auth\ui\widgets\custom_divider.dart                               | Dart       |         39 |          0 |          3 |         42 |
| g:\flutter_projects\e_learning\lib\features\auth\ui\widgets\forget_password.dart                              | Dart       |         19 |          0 |          4 |         23 |
| g:\flutter_projects\e_learning\lib\features\auth\ui\widgets\full_name_text_field.dart                         | Dart       |         12 |          0 |          3 |         15 |
| g:\flutter_projects\e_learning\lib\features\auth\ui\widgets\head_text.dart                                    | Dart       |         13 |          0 |          3 |         16 |
| g:\flutter_projects\e_learning\lib\features\auth\ui\widgets\new_password_text_form.dart                       | Dart       |         13 |          0 |          3 |         16 |
| g:\flutter_projects\e_learning\lib\features\auth\ui\widgets\save_button.dart                                  | Dart       |         12 |          0 |          3 |         15 |
| g:\flutter_projects\e_learning\lib\features\auth\ui\widgets\sign_buttons.dart                                 | Dart       |         33 |          0 |          3 |         36 |
| g:\flutter_projects\e_learning\lib\features\auth\ui\widgets\sign_in_email_text_field.dart                     | Dart       |         14 |          0 |          3 |         17 |
| g:\flutter_projects\e_learning\lib\features\auth\ui\widgets\sign_in_here.dart                                 | Dart       |         28 |          0 |          5 |         33 |
| g:\flutter_projects\e_learning\lib\features\auth\ui\widgets\sign_in_hint_text.dart                            | Dart       |         17 |          0 |          3 |         20 |
| g:\flutter_projects\e_learning\lib\features\auth\ui\widgets\sign_in_password_text_field.dart                  | Dart       |         15 |          0 |          3 |         18 |
| g:\flutter_projects\e_learning\lib\features\auth\ui\widgets\sign_in_text.dart                                 | Dart       |         13 |          0 |          3 |         16 |
| g:\flutter_projects\e_learning\lib\features\auth\ui\widgets\sign_in_text_button.dart                          | Dart       |         16 |          0 |          4 |         20 |
| g:\flutter_projects\e_learning\lib\features\auth\ui\widgets\sign_in_with_facebook.dart                        | Dart       |         14 |          0 |          3 |         17 |
| g:\flutter_projects\e_learning\lib\features\auth\ui\widgets\sign_in_with_google.dart                          | Dart       |         14 |          0 |          3 |         17 |
| g:\flutter_projects\e_learning\lib\features\auth\ui\widgets\sign_up_button.dart                               | Dart       |         16 |          0 |          4 |         20 |
| g:\flutter_projects\e_learning\lib\features\auth\ui\widgets\sign_up_confirm_password_text_field.dart          | Dart       |         13 |          0 |          3 |         16 |
| g:\flutter_projects\e_learning\lib\features\auth\ui\widgets\sign_up_email_text_field.dart                     | Dart       |         12 |          0 |          3 |         15 |
| g:\flutter_projects\e_learning\lib\features\auth\ui\widgets\sign_up_here.dart                                 | Dart       |         28 |          0 |          5 |         33 |
| g:\flutter_projects\e_learning\lib\features\auth\ui\widgets\sign_up_password_text_field.dart                  | Dart       |         13 |          0 |          3 |         16 |
| g:\flutter_projects\e_learning\lib\features\auth\ui\widgets\sign_up_with_facebook.dart                        | Dart       |         14 |          0 |          3 |         17 |
| g:\flutter_projects\e_learning\lib\features\auth\ui\widgets\sign_up_with_google.dart                          | Dart       |         14 |          0 |          3 |         17 |
| g:\flutter_projects\e_learning\lib\features\intro\data\models\page_model.dart                                 | Dart       |         26 |          0 |          4 |         30 |
| g:\flutter_projects\e_learning\lib\features\intro\ui\views\on_boarding_view.dart                              | Dart       |         84 |          0 |          9 |         93 |
| g:\flutter_projects\e_learning\lib\features\intro\ui\widgets\body_widget.dart                                 | Dart       |         30 |          0 |          3 |         33 |
| g:\flutter_projects\e_learning\lib\features\intro\ui\widgets\buttons_column.dart                              | Dart       |         42 |          0 |          5 |         47 |
| g:\flutter_projects\e_learning\lib\features\intro\ui\widgets\page_view_body.dart                              | Dart       |         27 |          0 |          3 |         30 |
| g:\flutter_projects\e_learning\lib\features\intro\ui\widgets\title_widget.dart                                | Dart       |         16 |          0 |          2 |         18 |
| g:\flutter_projects\e_learning\lib\features\layout\home\cubit\categories_cubit.dart                           | Dart       |         25 |          0 |          7 |         32 |
| g:\flutter_projects\e_learning\lib\features\layout\home\cubit\categories_cubit_state.dart                     | Dart       |          7 |          0 |          4 |         11 |
| g:\flutter_projects\e_learning\lib\features\layout\home\data\models\course_model.dart                         | Dart       |         20 |          0 |          2 |         22 |
| g:\flutter_projects\e_learning\lib\features\layout\home\data\models\notifications_model.dart                  | Dart       |         44 |          0 |          3 |         47 |
| g:\flutter_projects\e_learning\lib\features\layout\home\data\view_model\home_view_model.dart                  | Dart       |        140 |          0 |          9 |        149 |
| g:\flutter_projects\e_learning\lib\features\layout\home\ui\views\home_view.dart                               | Dart       |         19 |          0 |          4 |         23 |
| g:\flutter_projects\e_learning\lib\features\layout\home\ui\views\layout_view.dart                             | Dart       |         46 |          0 |          8 |         54 |
| g:\flutter_projects\e_learning\lib\features\layout\home\ui\views\notifications_view.dart                      | Dart       |         22 |          0 |          4 |         26 |
| g:\flutter_projects\e_learning\lib\features\layout\home\ui\widgets\categories_head_title.dart                 | Dart       |         20 |          0 |          3 |         23 |
| g:\flutter_projects\e_learning\lib\features\layout\home\ui\widgets\categories_items.dart                      | Dart       |         25 |          0 |          4 |         29 |
| g:\flutter_projects\e_learning\lib\features\layout\home\ui\widgets\categories_section.dart                    | Dart       |         15 |          0 |          4 |         19 |
| g:\flutter_projects\e_learning\lib\features\layout\home\ui\widgets\category_item.dart                         | Dart       |         24 |          0 |          3 |         27 |
| g:\flutter_projects\e_learning\lib\features\layout\home\ui\widgets\continue_watching_course_channel_name.dart | Dart       |         16 |          0 |          3 |         19 |
| g:\flutter_projects\e_learning\lib\features\layout\home\ui\widgets\continue_watching_course_image.dart        | Dart       |         27 |          0 |          3 |         30 |
| g:\flutter_projects\e_learning\lib\features\layout\home\ui\widgets\continue_watching_course_progress.dart     | Dart       |         22 |          0 |          3 |         25 |
| g:\flutter_projects\e_learning\lib\features\layout\home\ui\widgets\continue_watching_course_rating.dart       | Dart       |         24 |          0 |          3 |         27 |
| g:\flutter_projects\e_learning\lib\features\layout\home\ui\widgets\continue_watching_course_title.dart        | Dart       |         16 |          0 |          3 |         19 |
| g:\flutter_projects\e_learning\lib\features\layout\home\ui\widgets\continue_watching_item.dart                | Dart       |         47 |          0 |          4 |         51 |
| g:\flutter_projects\e_learning\lib\features\layout\home\ui\widgets\continue_watching_items.dart               | Dart       |         13 |          0 |          4 |         17 |
| g:\flutter_projects\e_learning\lib\features\layout\home\ui\widgets\continue_watching_section.dart             | Dart       |         17 |          0 |          4 |         21 |
| g:\flutter_projects\e_learning\lib\features\layout\home\ui\widgets\continue_watching_title.dart               | Dart       |          9 |          0 |          3 |         12 |
| g:\flutter_projects\e_learning\lib\features\layout\home\ui\widgets\custom_buttom_nav.dart                     | Dart       |         45 |          0 |          5 |         50 |
| g:\flutter_projects\e_learning\lib\features\layout\home\ui\widgets\custom_page_view.dart                      | Dart       |         27 |          0 |          3 |         30 |
| g:\flutter_projects\e_learning\lib\features\layout\home\ui\widgets\head_text.dart                             | Dart       |         16 |          0 |          3 |         19 |
| g:\flutter_projects\e_learning\lib\features\layout\home\ui\widgets\head_text_row.dart                         | Dart       |         27 |          0 |          3 |         30 |
| g:\flutter_projects\e_learning\lib\features\layout\home\ui\widgets\home_view_body.dart                        | Dart       |         34 |          0 |          3 |         37 |
| g:\flutter_projects\e_learning\lib\features\layout\home\ui\widgets\notifaction_description.dart               | Dart       |         28 |          0 |          4 |         32 |
| g:\flutter_projects\e_learning\lib\features\layout\home\ui\widgets\notifaction_icon.dart                      | Dart       |         20 |          0 |          4 |         24 |
| g:\flutter_projects\e_learning\lib\features\layout\home\ui\widgets\notifications_item.dart                    | Dart       |         44 |          0 |          3 |         47 |
| g:\flutter_projects\e_learning\lib\features\layout\home\ui\widgets\search_widget.dart                         | Dart       |         17 |          0 |          3 |         20 |
| g:\flutter_projects\e_learning\lib\features\layout\home\ui\widgets\suggestion_for_you_section.dart            | Dart       |         17 |          0 |          4 |         21 |
| g:\flutter_projects\e_learning\lib\features\layout\home\ui\widgets\suggestions_for_you_item.dart              | Dart       |         60 |          0 |          4 |         64 |
| g:\flutter_projects\e_learning\lib\features\layout\home\ui\widgets\suggestions_for_you_items.dart             | Dart       |         22 |          0 |          3 |         25 |
| g:\flutter_projects\e_learning\lib\features\layout\home\ui\widgets\suggestions_for_you_title.dart             | Dart       |         11 |          0 |          3 |         14 |
| g:\flutter_projects\e_learning\lib\features\layout\home\ui\widgets\top_courses_head_title.dart                | Dart       |          9 |          0 |          3 |         12 |
| g:\flutter_projects\e_learning\lib\features\layout\home\ui\widgets\top_courses_items.dart                     | Dart       |         22 |          0 |          3 |         25 |
| g:\flutter_projects\e_learning\lib\features\layout\home\ui\widgets\top_courses_section.dart                   | Dart       |         17 |          0 |          4 |         21 |
| g:\flutter_projects\e_learning\lib\features\layout\inbox\data\models\inbox_item_model.dart                    | Dart       |         10 |          0 |          2 |         12 |
| g:\flutter_projects\e_learning\lib\features\layout\inbox\ui\views\inbox_view.dart                             | Dart       |         16 |          0 |          4 |         20 |
| g:\flutter_projects\e_learning\lib\features\layout\inbox\ui\widgets\chat_column.dart                          | Dart       |         36 |          0 |          2 |         38 |
| g:\flutter_projects\e_learning\lib\features\layout\inbox\ui\widgets\custom_row.dart                           | Dart       |         25 |          0 |          2 |         27 |
| g:\flutter_projects\e_learning\lib\features\layout\inbox\ui\widgets\image_avatar.dart                         | Dart       |         24 |          0 |          2 |         26 |
| g:\flutter_projects\e_learning\lib\features\layout\inbox\ui\widgets\inbox_item.dart                           | Dart       |         30 |          0 |          3 |         33 |
| g:\flutter_projects\e_learning\lib\features\layout\inbox\ui\widgets\inbox_item_list_view.dart                 | Dart       |         56 |          0 |          3 |         59 |
| g:\flutter_projects\e_learning\lib\features\layout\inbox\ui\widgets\inbox_view_body.dart                      | Dart       |         27 |          0 |          3 |         30 |
| g:\flutter_projects\e_learning\lib\features\layout\inbox\ui\widgets\message_item.dart                         | Dart       |         27 |          0 |          4 |         31 |
| g:\flutter_projects\e_learning\lib\features\layout\inbox\ui\widgets\num_of_messages_container.dart            | Dart       |         24 |          0 |          3 |         27 |
| g:\flutter_projects\e_learning\lib\features\layout\my_courses\cubits\my_courses_cubit.dart                    | Dart       |         45 |          0 |         10 |         55 |
| g:\flutter_projects\e_learning\lib\features\layout\my_courses\cubits\my_courses_state.dart                    | Dart       |          3 |          0 |          3 |          6 |
| g:\flutter_projects\e_learning\lib\features\layout\my_courses\ui\views\course_content_view.dart               | Dart       |        161 |          0 |          9 |        170 |
| g:\flutter_projects\e_learning\lib\features\layout\my_courses\ui\views\course_view.dart                       | Dart       |         16 |          0 |          4 |         20 |
